entity,count,text,label
seat comfort:PERSON,1689,seat comfort,PERSON
first:ORDINAL,272,first,ORDINAL
one:CARDINAL,144,one,CARDINAL
two:CARDINAL,118,two,CARDINAL
boeing:ORG,95,boeing,ORG
december:DATE,93,december,DATE
london:GPE,87,london,GPE
hours:TIME,76,hours,TIME
singapore:GPE,73,singapore,GPE
november:DATE,73,november,DATE
paris:GPE,70,paris,GPE
january:DATE,69,january,DATE
qatar:GPE,66,qatar,GPE
april:DATE,57,april,DATE
american:NORP,56,american,NORP
dubai:GPE,56,dubai,GPE
doha:GPE,55,doha,GPE
july:DATE,53,july,DATE
american airlines:ORG,52,american airlines,ORG
september:DATE,52,september,DATE
october:DATE,52,october,DATE
france:GPE,51,france,GPE
jfk:PERSON,50,jfk,PERSON
june:DATE,48,june,DATE
frankfurt:GPE,48,frankfurt,GPE
new york:GPE,45,new york,GPE
august:DATE,45,august,DATE
second:ORDINAL,41,second,ORDINAL
japan:GPE,40,japan,GPE
february:DATE,40,february,DATE
minutes:TIME,40,minutes,TIME
alaska:GPE,38,alaska,GPE
europe:LOC,38,europe,LOC
three:CARDINAL,37,three,CARDINAL
istanbul:GPE,37,istanbul,GPE
united airlines:ORG,35,united airlines,ORG
amsterdam:GPE,35,amsterdam,GPE
dallas:GPE,33,dallas,GPE
boston:GPE,32,boston,GPE
years:DATE,31,years,DATE
us:GPE,31,us,GPE
today:DATE,30,today,DATE
british:NORP,28,british,NORP
the next day:DATE,27,the next day,DATE
days:DATE,27,days,DATE
houston:GPE,26,houston,GPE
tokyo:GPE,25,tokyo,GPE
chicago:GPE,25,chicago,GPE
an hour:TIME,24,an hour,TIME
washington:GPE,24,washington,GPE
